orden,comentario,tipo
1,"No les creo nada , ",malo
2,Está bonita la camioneta ,bueno
3,Quiero más información,info
4,:( igual el crédito ha de ser muuuucho ,malo
5,"Quisiera, más información, pero nadie me responde ",info
6,"cuota chica, pero digan la última cuota, de seguro alta",malo
7,"Yo tengo uno claro la versión anterior ,,me ha salido excelente,solo que los repuestos son carisimo 😅 lo tengo hace 6 años conmigo no me ha dado ningún problema",bueno
8,"No lo compres, son fabricados en méxico",malo
9,"🥰❤❣💯, amo esta marca",bueno
10,más IVA? Ni que la weá la uses como camioneta,malo
11,"Cuotas de $174.900 + pie del 49,2% (7 millones app). Finalmente en el mes 49 hay que dar un cuoton de 5 millones. Tremenda oferta… 🤣",malo
12,publicidad engañosa,malo
13,"es mi tesoro, yo tengo uno, y es lo mejor ",bueno
14,"Dan poca información, necesito mayor info",info
15,info por fa,info
16,Los respuestos son demasiados caros,malo
17,excelente! ,bueno
18,Es el mejor auto que he tenido,bueno
19,"se daña a la primera, y los respuestos por las nubes",malo
20,más detalle del valor,info
21,hola yo lo tengo con 10.000km Ningún problema muy contento con la compra viene con mucha seguridad muy suave ..es mecánico,bueno
22,"1 año con 35 mil km un auto de maravilla amigo, saludos",bueno
23,en mayo cumple 2 años mi auto con 35mil km y sigue como el primer día.,bueno
24,Recién pedí una cotización pero me mandaron el valor de las mantenciones.yo quiero saber de cuánto es el pie y de cuánto son las letras y cuántas eso es todo.gradias.,info
25,Servicio técnico muy malo,malo
26,Los respuestos demoran mucho,malo
27,publicidad mentirosa,malo
28,A mí me salió muy bueno el auto,bueno
29,Es muy cómodo y no se me ha dañado,bueno
30,necesito más información ,info
31,Demoran los repuestos,malo
32,"No lo compren, es demasiada cara la reparación",malo
33,poco stok de repuestos,malo
34,"Tiene toda la tecnología, y pantalla táctil ",bueno
35,"Muy recomendable, muy estable en carreteras ",bueno
36,no existen repuestos en el mercado,malo
37,Cuales modelos tienen 3 corridas de asientos? Y con barra superior?,info
38,"Es muy cómodo , pero poco rendimiento de combustible , no lo recomiendo",malo
39,"Yo compré uno, y es muy bueno",bueno
40,Ningún problema hasta ahora ,bueno
41,para cuándo los híbridos ? ,info
42,"Lo más fácil es que coloquen todo los datos técnicos del vehículo, valor con crédito y al contado",info
43,info,info
44,"no lo colocan ,por que quieren venderte el producto más caro y explicártelo y que lo pagues en cuotas y así se aprovechan y al final pagas el doble",malo
45,"No gracias, demasiado caro",malo
46,"Es una buen marca, lo recomiendo ",bueno
47,rinde muy poco el combuestible,malo
48,información,info
49,Excesivamente caro,malo
50,"recomiendo la marca, por los cómodos ",bueno
51,Tiene bajo rendimiento del consumo de gasolina ,malo
52,Se puede realizar compra inteligente!!!!,bueno
53,Me da mucha confianza al manejar ,bueno
54,"Muy mala experiencia , maravillosa si, pero al final la falla que tuvo a 4 meses nos hizo devolverla por nuestra seguridad",malo
55,al parecer los SUV son fabricados en China,malo
56,Tiene mucha comodidad y teconlogía,bueno
57,muy pocos kilómetros rinde por galón,malo
58,"Desde???? Porque no puede ser mas baja la cuota???? Dar mas pie........bajen los intereses, porque la gente termina pagando el doble,",malo
59,el problema que tienen algunas son de embrague,malo
60,"información por favor, de cómo conseguir el financiamiento ",info
61,"no me gusta el tema de financiamiento , terminan sacando un ojo , prefiero al contado, pero cuando uno quiere pagar al contado ustedes cobran más.",malo
62,"es fabricada en China, muy mala calidad",malo
63,"me encanta, es mi joya",bueno
64,Bellisimooo,bueno
65,no la recomiendo,malo
66,no la cambio por nada,bueno
67,malo el servicio técnico,malo
68,hermoso,bueno
69,"por favor ,más detalle del crédito ",info
70,"cómoda, pero muy cara",malo
71,me intersa,bueno
72,deficiente el servicio técnico,malo
73,demasiado consumo de combustible,malo
74,me interesa mucho,bueno
75,quiro mayot info ,info
76,el precio es muy alto,malo
77,"es una muy buena elección, una SUV muy completa, tecnología, confort y gran espacio",bueno
78,respuestos muy caros y escasos,malo
79,pésimo servicio técnico,malo
80,lo mejor sin duda su diseño y gran espacio interior😍,bueno
81,Y ahora si tendra 5 estrellas de seguridad o seguira como el mas inseguro con cero?,malo
82,yo la vi y me encanto perfecta para salir de paseo 😍,bueno
83,creo que es insegura ,malo
84,Les quedó realmente espectacular. Además soy fiel a la marca y los autos están cada vez mejores.,bueno
85,lo peor es el serivicio técnico ,malo
86,"mucho espacio y comodidad 🙂
",bueno
87,pagué una fortuna en repuestos y mantención,malo
88,buen diseño y grandes espacios,bueno
89,definitvamente la quiero comprar,bueno
90,creo que necesita poner más información ,info
91,excelente presentación y comodidad,bueno
92,me gustaría comprarla,bueno
93,"Por favor, ¿puedo comprarla al contado ? ",info
94,Me gustaría conocer si puedo pagar todo al contado,info
95,muy mal sevicio de mantención,malo
96,piezas de respuestos escasas y demoran mucho en traerlas ,malo
97,No sube muy bien las pendientes,malo
98,es la mejor SUV que he tenido ,bueno
99,el crédito directo resulta muy caro,malo
100,la recomiendo a ojos cerrados,bueno
101,"No les creo nada , ",malo
102,Está bonita la camioneta ,bueno
103,Quiero más información,info
104,:( igual el crédito ha de ser muuuucho ,malo
105,"Quisiera, más información, pero nadie me responde ",info
106,"cuota chica, pero digan la última cuota, de seguro alta",malo
107,"Yo tengo uno claro la versión anterior ,,me ha salido excelente,solo que los repuestos son carisimo 😅 lo tengo hace 6 años conmigo no me ha dado ningún problema",bueno
108,"No lo compres, son fabricados en méxico",malo
109,"🥰❤❣💯, amo esta marca",bueno
110,más IVA? Ni que la weá la uses como camioneta,malo
111,"Cuotas de $174.900 + pie del 49,2% (7 millones app). Finalmente en el mes 49 hay que dar un cuoton de 5 millones. Tremenda oferta… 🤣",malo
112,publicidad engañosa,malo
113,"es mi tesoro, yo tengo uno, y es lo mejor ",bueno
114,"Dan poca información, necesito mayor info",info
115,info por fa,info
116,Los respuestos son demasiados caros,malo
117,excelente! ,bueno
118,Es el mejor auto que he tenido,bueno
119,"se daña a la primera, y los respuestos por las nubes",malo
120,más detalle del valor,info
121,hola yo lo tengo con 10.000km Ningún problema muy contento con la compra viene con mucha seguridad muy suave ..es mecánico,bueno
122,"1 año con 35 mil km un auto de maravilla amigo, saludos",bueno
123,en mayo cumple 2 años mi auto con 35mil km y sigue como el primer día.,bueno
124,Recién pedí una cotización pero me mandaron el valor de las mantenciones.yo quiero saber de cuánto es el pie y de cuánto son las letras y cuántas eso es todo.gradias.,info
125,Servicio técnico muy malo,malo
126,Los respuestos demoran mucho,malo
127,publicidad mentirosa,malo
128,A mí me salió muy bueno el auto,bueno
129,Es muy cómodo y no se me ha dañado,bueno
130,necesito más información ,info
131,Demoran los repuestos,malo
132,"No lo compren, es demasiada cara la reparación",malo
133,poco stok de repuestos,malo
134,"Tiene toda la tecnología, y pantalla táctil ",bueno
135,"Muy recomendable, muy estable en carreteras ",bueno
136,no existen repuestos en el mercado,malo
137,Cuales modelos tienen 3 corridas de asientos? Y con barra superior?,info
138,"Es muy cómodo , pero poco rendimiento de combustible , no lo recomiendo",malo
139,"Yo compré uno, y es muy bueno",bueno
140,Ningún problema hasta ahora ,bueno
141,para cuándo los híbridos ? ,info
142,"Lo más fácil es que coloquen todo los datos técnicos del vehículo, valor con crédito y al contado",info
143,info,info
144,"no lo colocan ,por que quieren venderte el producto más caro y explicártelo y que lo pagues en cuotas y así se aprovechan y al final pagas el doble",malo
145,"No gracias, demasiado caro",malo
146,"Es una buen marca, lo recomiendo ",bueno
147,rinde muy poco el combuestible,malo
148,información,info
149,Excesivamente caro,malo
150,"recomiendo la marca, por los cómodos ",bueno
151,Tiene bajo rendimiento del consumo de gasolina ,malo
152,Se puede realizar compra inteligente!!!!,bueno
153,Me da mucha confianza al manejar ,bueno
154,"Muy mala experiencia , maravillosa si, pero al final la falla que tuvo a 4 meses nos hizo devolverla por nuestra seguridad",malo
155,al parecer los SUV son fabricados en China,malo
156,Tiene mucha comodidad y teconlogía,bueno
157,muy pocos kilómetros rinde por galón,malo
158,"Desde???? Porque no puede ser mas baja la cuota???? Dar mas pie........bajen los intereses, porque la gente termina pagando el doble,",malo
159,el problema que tienen algunas son de embrague,malo
160,"información por favor, de cómo conseguir el financiamiento ",info
161,"no me gusta el tema de financiamiento , terminan sacando un ojo , prefiero al contado, pero cuando uno quiere pagar al contado ustedes cobran más.",malo
162,"es fabricada en China, muy mala calidad",malo
163,"me encanta, es mi joya",bueno
164,Bellisimooo,bueno
165,no la recomiendo,malo
166,no la cambio por nada,bueno
167,malo el servicio técnico,malo
168,hermoso,bueno
169,"por favor ,más detalle del crédito ",info
170,"cómoda, pero muy cara",malo
171,me intersa,bueno
172,deficiente el servicio técnico,malo
173,demasiado consumo de combustible,malo
174,me interesa mucho,bueno
175,quiro mayot info ,info
176,el precio es muy alto,malo
177,"es una muy buena elección, una SUV muy completa, tecnología, confort y gran espacio",bueno
178,respuestos muy caros y escasos,malo
179,pésimo servicio técnico,malo
180,lo mejor sin duda su diseño y gran espacio interior😍,bueno
181,Y ahora si tendra 5 estrellas de seguridad o seguira como el mas inseguro con cero?,malo
182,yo la vi y me encanto perfecta para salir de paseo 😍,bueno
183,creo que es insegura ,malo
184,Les quedó realmente espectacular. Además soy fiel a la marca y los autos están cada vez mejores.,bueno
185,lo peor es el serivicio técnico ,malo
186,"mucho espacio y comodidad 🙂
",bueno
187,pagué una fortuna en repuestos y mantención,malo
188,buen diseño y grandes espacios,bueno
189,definitvamente la quiero comprar,bueno
190,creo que necesita poner más información ,info
191,excelente presentación y comodidad,bueno
192,me gustaría comprarla,bueno
193,"Por favor, ¿puedo comprarla al contado ? ",info
194,Me gustaría conocer si puedo pagar todo al contado,info
195,muy mal sevicio de mantención,malo
196,piezas de respuestos escasas y demoran mucho en traerlas ,malo
197,No sube muy bien las pendientes,malo
198,es la mejor SUV que he tenido ,bueno
199,el crédito directo resulta muy caro,malo
200,la recomiendo a ojos cerrados,bueno
201,"No les creo nada , ",malo
202,Está bonita la camioneta ,bueno
203,Quiero más información,info
204,:( igual el crédito ha de ser muuuucho ,malo
205,"Quisiera, más información, pero nadie me responde ",info
206,"cuota chica, pero digan la última cuota, de seguro alta",malo
207,"Yo tengo uno claro la versión anterior ,,me ha salido excelente,solo que los repuestos son carisimo 😅 lo tengo hace 6 años conmigo no me ha dado ningún problema ",bueno
208,"No lo compres, son fabricados en méxico",malo
209,"🥰❤❣💯, amo esta marca",bueno
210,más IVA? Ni que la weá la uses como camioneta,malo
211,"Cuotas de $174.900 + pie del 49,2% (7 millones app). Finalmente en el mes 49 hay que dar un cuoton de 5 millones. Tremenda oferta… 🤣",malo
212,publicidad engañosa,malo
213,"es mi tesoro, yo tengo uno, y es lo mejor ",bueno
214,"Dan poca información, necesito mayor info",info
215,info por fa,info
216,Los respuestos son demasiados caros,malo
217,excelente! ,bueno
218,Es el mejor auto que he tenido,bueno
219,"se daña a la primera, y los respuestos por las nubes",malo
220,más detalle del valor,info
221,hola yo lo tengo con 10.000km Ningún problema muy contento con la compra viene con mucha seguridad muy suave ..es mecánico,bueno
222,"1 año con 35 mil km un auto de maravilla amigo, saludos",bueno
223,en mayo cumple 2 años mi auto con 35mil km y sigue como el primer día.,bueno
224,Recién pedí una cotización pero me mandaron el valor de las mantenciones.yo quiero saber de cuánto es el pie y de cuánto son las letras y cuántas eso es todo.gradias.,info
225,Servicio técnico muy malo,malo
226,Los respuestos demoran mucho,malo
227,publicidad mentirosa,malo
228,A mí me salió muy bueno el auto,bueno
229,Es muy cómodo y no se me ha dañado,bueno
230,necesito más información ,info
231,Demoran los repuestos,malo
232,"No lo compren, es demasiada cara la reparación",malo
233,poco stok de repuestos,malo
234,"Tiene toda la tecnología, y pantalla táctil ",bueno
235,"Muy recomendable, muy estable en carreteras ",bueno
236,no existen repuestos en el mercado,malo
237,Cuales modelos tienen 3 corridas de asientos? Y con barra superior?,info
238,"Es muy cómodo , pero poco rendimiento de combustible , no lo recomiendo",malo
239,"Yo compré uno, y es muy bueno",bueno
240,Ningún problema hasta ahora ,bueno
241,para cuándo los híbridos ? ,info
242,"Lo más fácil es que coloquen todo los datos técnicos del vehículo, valor con crédito y al contado",info
243,info,info
244,"no lo colocan ,por que quieren venderte el producto más caro y explicártelo y que lo pagues en cuotas y así se aprovechan y al final pagas el doble",malo
245,"No gracias, demasiado caro",malo
246,"Es una buen marca, lo recomiendo ",bueno
247,rinde muy poco el combuestible,malo
248,información,info
249,Excesivamente caro,malo
250,"recomiendo la marca, por los cómodos ",bueno
251,Tiene bajo rendimiento del consumo de gasolina ,malo
252,Se puede realizar compra inteligente!!!!,bueno
253,Me da mucha confianza al manejar ,bueno
254,"Muy mala experiencia , maravillosa si, pero al final la falla que tuvo a 4 meses nos hizo devolverla por nuestra seguridad",malo
255,al parecer los SUV son fabricados en China,malo
256,Tiene mucha comodidad y teconlogía,bueno
257,muy pocos kilómetros rinde por galón,malo
258,"Desde???? Porque no puede ser mas baja la cuota???? Dar mas pie........bajen los intereses, porque la gente termina pagando el doble,",malo
259,el problema que tienen algunas son de embrague,malo
260,"información por favor, de cómo conseguir el financiamiento ",info
261,"no me gusta el tema de financiamiento , terminan sacando un ojo , prefiero al contado, pero cuando uno quiere pagar al contado ustedes cobran más.",malo
262,"es fabricada en China, muy mala calidad",malo
263,"me encanta, es mi joya",bueno
264,Bellisimooo,bueno
265,no la recomiendo,malo
266,no la cambio por nada,bueno
267,malo el servicio técnico,malo
268,hermoso,bueno
269,"por favor ,más detalle del crédito ",info
270,"cómoda, pero muy cara",malo
271,me intersa,bueno
272,deficiente el servicio técnico,malo
273,demasiado consumo de combustible,malo
274,me interesa mucho,bueno
275,quiro mayot info ,info
276,el precio es muy alto,malo
277,"es una muy buena elección, una SUV muy completa, tecnología, confort y gran espacio",bueno
278,respuestos muy caros y escasos,malo
279,pésimo servicio técnico,malo
280,lo mejor sin duda su diseño y gran espacio interior😍,bueno
281,Y ahora si tendra 5 estrellas de seguridad o seguira como el mas inseguro con cero?,malo
282,yo la vi y me encanto perfecta para salir de paseo 😍,bueno
283,creo que es insegura ,malo
284,Les quedó realmente espectacular. Además soy fiel a la marca y los autos están cada vez mejores.,bueno
285,lo peor es el serivicio técnico ,malo
286,"mucho espacio y comodidad 🙂
",bueno
287,pagué una fortuna en repuestos y mantención,malo
288,buen diseño y grandes espacios,bueno
289,definitvamente la quiero comprar,bueno
290,creo que necesita poner más información ,info
291,excelente presentación y comodidad,bueno
292,me gustaría comprarla,bueno
293,"Por favor, ¿puedo comprarla al contado ? ",info
294,Me gustaría conocer si puedo pagar todo al contado,info
295,muy mal sevicio de mantención,malo
296,piezas de respuestos escasas y demoran mucho en traerlas ,malo
297,No sube muy bien las pendientes,malo
298,es la mejor SUV que he tenido ,bueno
299,el crédito directo resulta muy caro,malo
300,la recomiendo a ojos cerrados,bueno
301,"No les creo nada , ",malo
